is_type,name,coord,district,address
银行,中国农业银行ATM(汇泉路),"117.937286,31.656501",含山县,安徽省马鞍山市巢湖学院(龙泉路南)
银行,巢湖农业,"117.872419,31.59208",巢湖市,合肥市巢湖市巢湖南路22号
银行,中国工商银行(巢湖汇豪支行),"117.882447,31.600147",巢湖市,安徽省合肥市市辖区合肥市安成路与朝阳路交叉口
银行,中国人民银行(巢湖市分行),"117.890179,31.619051",巢湖市,安徽省合肥市长江东路26号
银行,工商银行ATM,"117.909703,31.632465",巢湖市,安徽省合肥市名仕嘉苑(渡江路北)
银行,中国信合(司集信用社),"117.914949,31.888165",巢湖市,合肥市巢湖市
银行,中国邮政储蓄银行(司集邮政支局),"117.914379,31.889431",巢湖市,安徽省合肥市巢湖市
银行,中国农业银行ATM(巢湖开发区支行),"117.92435,31.648514",巢湖市,半汤镇冷泉路28号
银行,中国农业银行(巢湖开发区支行),"117.92436,31.648604",巢湖市,半汤镇冷泉路28号
银行,巢湖市农村商业银行(半汤支行),"117.924797,31.648359",巢湖市,汤山路23号
银行,农村商业银行(姚庙信用社),"117.926853,31.791865",含山县,安徽省马鞍山市含山县
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,交通银行24小时自助银行(团结东路),"117.88809,31.603739",巢湖市,光明行政村团结东路4号楼13号门面房(市民大药房隔壁)
银行,徽商银行24小时自助银行(巢湖支行),"117.887577,31.603751",巢湖市,合肥市团结东路9号
银行,中国建设银行-24小时自助银行,"117.878398,31.644773",巢湖市,巢维路56号附近
银行,中国邮政储蓄银行ATM(红塔储蓄),"117.87786,31.64524",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国建设银行24小时自助银行(财富广场储蓄所),"117.890803,31.604037",巢湖市,安徽省合肥市东苑新村(安徽省巢湖市第一中学北)
银行,中国工商银行ATM,"117.895977,31.605864",巢湖市,健康东路8-17号
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,中国邮政ATM,"117.908048,31.633584",巢湖市,合肥市
银行,中国邮政储蓄银行(半汤邮政储蓄银行),"117.907717,31.633835",巢湖市,渡江路名仕嘉苑1-3号上铺
银行,中国建设银行24小时自助银行,"117.893431,31.624716",巢湖市,凤凰山路与半汤路交叉口东南100米
银行,中国建设银行,"117.878452,31.644691",巢湖市,安徽省合肥市皖维路
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国建设银行,"117.878452,31.644691",巢湖市,安徽省合肥市皖维路
