,IS_TYPE,IS_NAME,COORDINATE,XZQHSZ_DM,ADDRESS,TAG,RATING,COMMENT_NUM,lat,lng
10265,enterprise,安徽众化企业管理有限公司,"117.285891,31.937359",庐阳区,官塘路14号,公司企业;公司,,,117.285891,31.937359
10266,cater,和府大酒店宴会楼,"117.278792,31.945386",庐阳区,合肥市庐阳区,美食;中餐厅,,,117.278792,31.945386
10267,cater,采蝶轩(云顶雅苑店),"117.278958,31.943896",庐阳区,阜阳路与荷塘路交叉口云顶雅苑小区3栋依家生活超市楼下,美食;蛋糕甜品店,4.3,11.0,117.278958,31.943896
10268,cater,王记大众酸菜鱼馆,"117.27727,31.944349",庐阳区,安徽省合肥市庐阳区杏花投资3号楼,美食;中餐厅,,,117.27727,31.944349
10269,cater,孙家食府,"117.273122,31.94713",庐阳区,安徽省合肥市庐阳区汲桥路67,美食;中餐厅,,,117.273122,31.94713
10270,cater,王记大众酸菜鱼馆,"117.27727,31.944349",庐阳区,安徽省合肥市庐阳区杏花投资3号楼,美食;中餐厅,,,117.27727,31.944349
10271,cater,小吴土菜馆,"117.28459,31.952346",庐阳区,庐阳工业区(林店街道)金池路与洪河路交叉口117底站,美食;中餐厅,5.0,3.0,117.28459,31.952346
10272,cater,豪杰天下功夫煲仔(合肥阿奎利亚店),"117.273864,31.963059",长丰县,金珠路阿奎利亚南区一期15号门面,美食;小吃快餐店,4.1,6.0,117.273864,31.963059
10273,cater,艾比客(云顶雅苑店),"117.278897,31.943911",庐阳区,阜阳路与荷塘路交叉口依家生活超市1楼,美食;小吃快餐店,3.9,41.0,117.278897,31.943911
10274,cater,小吴土菜馆,"117.28459,31.952346",庐阳区,庐阳工业区(林店街道)金池路与洪河路交叉口117底站,美食;中餐厅,5.0,3.0,117.28459,31.952346
10275,cater,皖北地锅鸡(荷塘路店),"117.278295,31.944495",庐阳区,安徽省合肥市庐阳区庐阳工业园荷塘商务宾馆(荷塘路北),美食;中餐厅,,,117.278295,31.944495
10276,cater,长丰酒家,"117.285141,31.952038",庐阳区,洪河路与金池路交叉口东南100米,美食;中餐厅,,,117.285141,31.952038
10277,cater,楚味占记(阿奎利亚店),"117.27284,31.962592",长丰县,双凤开发区金珠路阿奎利亚1号楼122号,美食;小吃快餐店,4.6,200.0,117.27284,31.962592
10278,cater,魏记爆香牛肉面,"117.272682,31.9622",长丰县,金珠路101号阿奎利亚美食一条街阜阳路入口向前200米,美食;小吃快餐店,4.0,3.0,117.272682,31.9622
10279,cater,和顺酒家,"117.278166,31.944476",庐阳区,安徽省合肥市庐阳区荷塘路庐阳工业园云顶雅苑西北,美食;中餐厅,4.8,1.0,117.278166,31.944476
10280,cater,伊洛苑大酒店,"117.276539,31.94424",庐阳区,合肥市庐阳区荷塘路50号,美食;中餐厅,4.0,2.0,117.276539,31.94424
10281,cater,民丰土菜馆,"117.27316,31.966136",长丰县,合水路与金宁路交叉口向北50米,美食;中餐厅,3.2,1.0,117.27316,31.966136
10282,cater,豪杰天下功夫煲仔(合肥阿奎利亚店),"117.273864,31.963059",长丰县,金珠路阿奎利亚南区一期15号门面,美食;小吃快餐店,4.1,6.0,117.273864,31.963059
10283,cater,农家小炒,"117.278295,31.944495",庐阳区,安徽省合肥市庐阳区杏花投资1号楼,美食;中餐厅,,,117.278295,31.944495
10284,cater,益民餐馆,"117.286256,31.952056",庐阳区,洪河路与环湖路交叉口西南200米,美食;中餐厅,,,117.286256,31.952056
10285,cater,美滋克汉堡·炸鸡,"117.271847,31.962268",长丰县,金珠路一期38号门面,美食;小吃快餐店,4.4,,117.271847,31.962268
10286,cater,聚香园土菜,"117.276295,31.963419",长丰县,安徽省合肥市长丰县金珠路中奥花园4栋102号中奥花园东门东行40米路南,美食;中餐厅,3.5,,117.276295,31.963419
10287,cater,富康园酒楼(中谷店),"117.273686,31.962968",长丰县,安徽省合肥市长丰县恒泰阿奎利亚·1期1,美食;中餐厅,5.0,2.0,117.273686,31.962968
10288,cater,和府大酒店宴会楼,"117.278792,31.945386",庐阳区,合肥市庐阳区,美食;中餐厅,,,117.278792,31.945386
10289,cater,孙家食府,"117.273122,31.94713",庐阳区,安徽省合肥市庐阳区汲桥路67,美食;中餐厅,,,117.273122,31.94713
10290,cater,民丰土菜馆,"117.27316,31.966136",长丰县,合水路与金宁路交叉口向北50米,美食;中餐厅,3.2,1.0,117.27316,31.966136
10291,cater,陶云酸菜鱼,"117.271681,31.969371",长丰县,双凤开发区合水路63号牛氏玻璃有限公司旁,美食;中餐厅,3.3,2.0,117.271681,31.969371
10292,cater,楚味占记(阿奎利亚店),"117.27284,31.962592",长丰县,双凤开发区金珠路阿奎利亚1号楼122号,美食;小吃快餐店,4.6,200.0,117.27284,31.962592
10293,cater,魏记爆香牛肉面,"117.272682,31.9622",长丰县,金珠路101号阿奎利亚美食一条街阜阳路入口向前200米,美食;小吃快餐店,4.0,3.0,117.272682,31.9622
10294,cater,一锅香,"117.273044,31.962651",长丰县,安徽省合肥市长丰县金珠路,美食;中餐厅,,,117.273044,31.962651
10295,cater,梁氏随缘酒楼(阿奎利亚总店),"117.270277,31.961558",长丰县,阿奎利亚北区金珠路78号,美食;中餐厅,,,117.270277,31.961558
10296,cater,豪杰天下功夫煲仔(合肥阿奎利亚店),"117.273864,31.963059",长丰县,金珠路阿奎利亚南区一期15号门面,美食;小吃快餐店,4.1,6.0,117.273864,31.963059
