IS_TYPE,IS_NAME,COORDINATE,XZQHSZ_DM,ADDRESS,TAG,RATING,COMMENT_NUM
cater,聚星土菜馆(聚星乡人民政府西),"116.886626,31.723962",肥西县,聚星乡X050县道聚星农贸市场向西南50米乡村华联连锁超市旁,美食;中餐厅,3.6,5
cater,小刘饭店,"116.887644,31.724506",肥西县,聚星乡X050聚星农贸市场斜对面乡村华联连锁超市向东北50米,美食;中餐厅,,
cater,兴隆农家菜(聚星店),"116.887835,31.724256",肥西县,聚星乡X050聚星农贸市场旁卫生院社区门诊斜对面,美食;中餐厅,,
cater,兴隆农家菜(聚星店),"116.887835,31.724256",肥西县,聚星乡X050聚星农贸市场旁卫生院社区门诊斜对面,美食;中餐厅,,
cater,小刘饭店,"116.887644,31.724506",肥西县,聚星乡X050聚星农贸市场斜对面乡村华联连锁超市向东北50米,美食;中餐厅,,
cater,兴隆农家菜(聚星店),"116.887835,31.724256",肥西县,聚星乡X050聚星农贸市场旁卫生院社区门诊斜对面,美食;中餐厅,,
cater,惠友餐馆,"116.887019,31.810472",肥西县,官亭土菜馆附近,美食;中餐厅,5.0,5
cater,新亚酒店,"116.893235,31.812648",肥西县,官亭大拇指幼儿园附近,美食;中餐厅,5.0,2
cater,汪家土菜馆(官厅店),"116.890203,31.8115",肥西县,官厅镇G312合肥远程胶塑有限公司斜对面老汪土菜馆向西南20米,美食;中餐厅,,
cater,福缘楼(官厅店),"116.884505,31.809742",肥西县,安徽省合肥市肥西县同乐花园东北200米,美食;中餐厅,,
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,惠友餐馆,"116.887019,31.810472",肥西县,官亭土菜馆附近,美食;中餐厅,5.0,5
cater,新亚酒店,"116.893235,31.812648",肥西县,官亭大拇指幼儿园附近,美食;中餐厅,5.0,2
cater,汪家土菜馆(官厅店),"116.890203,31.8115",肥西县,官厅镇G312合肥远程胶塑有限公司斜对面老汪土菜馆向西南20米,美食;中餐厅,,
cater,福缘楼(官厅店),"116.884505,31.809742",肥西县,安徽省合肥市肥西县同乐花园东北200米,美食;中餐厅,,
cater,惠友餐馆,"116.887019,31.810472",肥西县,官亭土菜馆附近,美食;中餐厅,5.0,5
cater,新亚酒店,"116.893235,31.812648",肥西县,官亭大拇指幼儿园附近,美食;中餐厅,5.0,2
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,汪家土菜馆(官厅店),"116.890203,31.8115",肥西县,官厅镇G312合肥远程胶塑有限公司斜对面老汪土菜馆向西南20米,美食;中餐厅,,
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,福缘楼(官厅店),"116.884505,31.809742",肥西县,安徽省合肥市肥西县同乐花园东北200米,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,新亚酒店,"116.893235,31.812648",肥西县,官亭大拇指幼儿园附近,美食;中餐厅,5.0,2
cater,汪家土菜馆(官厅店),"116.890203,31.8115",肥西县,官厅镇G312合肥远程胶塑有限公司斜对面老汪土菜馆向西南20米,美食;中餐厅,,
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,新亚酒店,"116.893235,31.812648",肥西县,官亭大拇指幼儿园附近,美食;中餐厅,5.0,2
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,新亚酒店,"116.893235,31.812648",肥西县,官亭大拇指幼儿园附近,美食;中餐厅,5.0,2
cater,汪家土菜馆(官厅店),"116.890203,31.8115",肥西县,官厅镇G312合肥远程胶塑有限公司斜对面老汪土菜馆向西南20米,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,新亚酒店,"116.893235,31.812648",肥西县,官亭大拇指幼儿园附近,美食;中餐厅,5.0,2
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,雲峰川味馆(官厅店),"116.898399,31.812999",肥西县,G312国道官厅镇驿城步行街驿城大浴场旁,美食;中餐厅,,
cater,丰祥饭店,"116.8985,31.812984",肥西县,安徽省合肥市肥西县官亭镇驿城步行街附近,美食;中餐厅,,1
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
cater,新桥服务区-餐厅,"116.900588,31.924917",蜀山区,安徽省合肥市蜀山区高刘镇沪陕高速公路新桥服务区,美食;中餐厅,3.3,7
